0	0	0	5804.78
36.7059	0.0403734	-0.0400006	6324.89
107.492	0.028154	0.11	6845.5
178.222	-0.157425	0.17	7385.67
254.892	0.0976133	0.36	7924.44
325.907	0.415537	0.309999	8465.33
402.744	0.947576	0.519999	9005.5
473.764	1.23559	0.499999	9547.04
550.545	1.91092	0.75	10084.9
623.835	2.4484	0.64	10625.2
700.377	3.537	0.809999	11165.4
771.508	4.03757	0.86	11685.1
842.854	5.33398	1.03	12225.1
920.095	6.08046	0.979999	12755.2
990.978	7.38382	1.16	13274.8
1062.1	8.81528	1.15	13815
1138.75	10.2991	1.46	14354.3
1209.64	11.876	1.43	14898.7
1286.44	14.0669	1.6	15436
1357.15	16.0262	1.61	15956.7
1430.46	18.434	1.77	16475.7
1437.3	57.2914	1.51	16994.5
1441.61	128.068	0.34	17536
1455.24	198.628	-0.230001	18055.2
1476.79	212.617	-0.7	18595.2
1545.41	136.875	-1.56	19115.8
1613.59	112.121	-1.39	19636.1
1665.45	101.061	-1.58	20155.3
1722.75	109.059	-0.54	20674.8
1792.18	146.052	-0.150001	21195.2
1862.03	177.871	-0.11	21737.2
1933.44	177.6	-0.07	22264
2010.11	177.124	-0.29	22804
2081.18	176.404	-0.500001	23325.2
2151.85	175.693	-0.58	23863.9
